Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
2024,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,MOHAVE,0.98892,0.84816,0.946672,0.90694,6 out of 10,4 out of 9,6 out of 10
2024,30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,0.98892,0.84816,0.971714,0.981432,1 out of 10,0 out of 9,1 out of 10
2024,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,PIMA,0.98892,0.84816,0.966979,0.996482,0 out of 10,0 out of 9,0 out of 10
2024,30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,MARICOPA,0.98892,0.84816,1.010847,1.006772,0 out of 10,0 out of 9,0 out of 10
2024,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,0.98892,0.84816,1.000706,0.979311,1 out of 10,1 out of 9,1 out of 10
2024,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,MARICOPA,0.98892,0.84816,0.992318,1.017716,0 out of 10,0 out of 9,0 out of 10
2024,30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,0.98892,0.84816,1.010825,0.985003,1 out of 10,1 out of 9,1 out of 10
2024,30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,MARICOPA,0.98892,0.84816,0.94001,0.95253,3 out of 10,0 out of 9,3 out of 10
2024,30094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,0.98892,0.84816,1.035812,0.992535,0 out of 10,2 out of 9,2 out of 10
2024,30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,MOHAVE,0.98892,0.84816,0.893963,0.89207,7 out of 10,0 out of 9,7 out of 10
2024,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,MARICOPA,0.98892,0.84816,0.937141,0.979434,1 out of 10,0 out of 9,1 out of 10
2024,30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,0.98892,0.84816,0.986555,0.994856,0 out of 10,0 out of 9,0 out of 10
2024,30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,0.98892,0.84816,1.010511,0.982873,1 out of 10,1 out of 9,1 out of 10
2024,30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,PIMA,0.98892,0.84816,0.913086,0.951839,3 out of 10,0 out of 9,3 out of 10
2024,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,PIMA,0.98892,0.84816,0.95175,0.979011,1 out of 10,0 out of 9,1 out of 10
2024,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,0.98892,0.84816,0.941631,0.964204,2 out of 10,0 out of 9,2 out of 10
2024,30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,MOHAVE,0.98892,0.84816,0.938991,0.80819,10 out of 10,9 out of 9,10 out of 10
2024,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85297,MARICOPA,0.98892,0.84816,0.998009,1.004083,0 out of 10,0 out of 9,0 out of 10
2024,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,MARICOPA,0.98892,0.84816,0.972752,0.956077,3 out of 10,1 out of 9,3 out of 10
2024,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,MARICOPA,0.98892,0.84816,0.994109,1.0039,0 out of 10,0 out of 9,0 out of 10
2024,30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,MARICOPA,0.98892,0.84816,0.952348,0.940812,4 out of 10,1 out of 9,4 out of 10
2024,30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,PINAL,0.98892,0.84816,0.900574,0.927107,4 out of 10,0 out of 9,4 out of 10
2024,30138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,MARICOPA,0.98892,0.84816,1.141783,1.193192,0 out of 10,0 out of 9,0 out of 10
2024,30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,MESA,AZ,85212,MARICOPA,0.98892,0.84816,0.994016,0.90446,6 out of 10,6 out of 9,6 out of 10
2024,40001,SILOAM SPRINGS REGIONAL HOSPITAL,3873 N PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,WASHINGTON,0.98892,0.84816,0.968161,1.041361,0 out of 10,0 out of 9,0 out of 10
2024,40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,0.98892,0.84816,1.00693,0.937515,4 out of 10,4 out of 9,4 out of 10
2024,40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,0.98892,0.84816,0.984203,1.003013,0 out of 10,0 out of 9,0 out of 10
2024,40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,0.98892,0.84816,0.993751,1.004142,0 out of 10,0 out of 9,0 out of 10
2024,40010,MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,72758,BENTON,0.98892,0.84816,0.958406,1.009269,0 out of 10,0 out of 9,0 out of 10
2024,40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR,72833,YELL,0.98892,0.84816,0.850208,0.863873,8 out of 10,0 out of 9,8 out of 10
2024,40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,0.98892,0.84816,1.00403,1.031524,0 out of 10,0 out of 9,0 out of 10
2024,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,PULASKI,0.98892,0.84816,1.005373,0.997906,0 out of 10,0 out of 9,0 out of 10
2024,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,0.98892,0.84816,0.964453,1.020022,0 out of 10,0 out of 9,0 out of 10
2024,40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,ST. FRANCIS,0.98892,0.84816,0.900034,0.92255,5 out of 10,0 out of 9,5 out of 10
2024,40020,ST BERNARDS MEDICAL CENTER,225 E WASHIINGTON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,0.98892,0.84816,1.060768,1.087634,0 out of 10,0 out of 9,0 out of 10
2024,40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,WASHINGTON,0.98892,0.84816,1.011801,1.06159,0 out of 10,0 out of 9,0 out of 10
2024,40026,ST VINCENT HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71903,GARLAND,0.98892,0.84816,1.053765,1.088974,0 out of 10,0 out of 9,0 out of 10
2024,40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,BAXTER,0.98892,0.84816,0.968185,0.993277,0 out of 10,0 out of 9,0 out of 10
2024,40029,"CONWAY REGIONAL MEDICAL CENTER, INC",2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,0.98892,0.84816,1.032055,1.018831,0 out of 10,0 out of 9,0 out of 10
2024,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,PULASKI,0.98892,0.84816,0.986912,1.034658,0 out of 10,0 out of 9,0 out of 10
2024,40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,GREENE,0.98892,0.84816,1.079552,1.072478,0 out of 10,0 out of 9,0 out of 10
2024,40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,POPE,0.98892,0.84816,0.998021,0.985028,1 out of 10,0 out of 9,1 out of 10
2024,40051,DREW MEMORIAL HEALTH SYSTEM,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,0.98892,0.84816,0.879339,0.925095,5 out of 10,0 out of 9,5 out of 10
2024,40055,BAPTIST HEALTH - FORT SMITH,1001 TOWSON AVENUE,FORT SMITH,AR,72901,SEBASTIAN,0.98892,0.84816,1.039159,1.064154,0 out of 10,0 out of 9,0 out of 10
2024,40062,MERCY HOSPITAL FORT SMITH,7301 ROGERS AVE,FORT SMITH,AR,72903,SEBASTIAN,0.98892,0.84816,1.033857,1.073605,0 out of 10,0 out of 9,0 out of 10
2024,40067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,MAGNOLIA,AR,71753,COLUMBIA,0.98892,0.84816,1.046866,1.169576,0 out of 10,0 out of 9,0 out of 10
2024,40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,0.98892,0.84816,0.929858,0.962568,2 out of 10,0 out of 9,2 out of 10
